hanzi,pinyin,english,element,element_en,ganzhi_1,ganzhi_2,ganzhi_1_pinyin,ganzhi_2_pinyin
海中金,"hǎi zhōng jīn","Gold in the Sea",金,Metal,甲子,乙丑,"jiǎ zǐ","yǐ chǒu"
炉中火,"lú zhōng huǒ","Fire in the Furnace",火,Fire,丙寅,丁卯,"bǐng yín","dīng mǎo"
大林木,"dà lín mù","Great Forest Wood",木,Wood,戊辰,己巳,"wù chén","jǐ sì"
路旁土,"lù páng tǔ","Roadside Earth",土,Earth,庚午,辛未,"gēng wǔ","xīn wèi"
剑锋金,"jiàn fēng jīn","Sword-Edge Metal",金,Metal,壬申,癸酉,"rén shēn","guǐ yǒu"
山头火,"shān tóu huǒ","Hilltop Fire",火,Fire,甲戌,乙亥,"jiǎ xū","yǐ hài"
涧下水,"jiàn xià shuǐ","Water in the Ravine",水,Water,丙子,丁丑,"bǐng zǐ","dīng chǒu"
城头土,"chéng tóu tǔ","City Wall Earth",土,Earth,戊寅,己卯,"wù yín","jǐ mǎo"
白蜡金,"bái là jīn","White Wax Metal",金,Metal,庚辰,辛巳,"gēng chén","xīn sì"
杨柳木,"yáng liǔ mù","Willow Wood",木,Wood,壬午,癸未,"rén wǔ","guǐ wèi"
泉中水,"quán zhōng shuǐ","Water in the Spring",水,Water,甲申,乙酉,"jiǎ shēn","yǐ yǒu"
屋上土,"wū shàng tǔ","Rooftop Earth",土,Earth,丙戌,丁亥,"bǐng xū","dīng hài"
霹雳火,"pī lì huǒ","Thunderbolt Fire",火,Fire,戊子,己丑,"wù zǐ","jǐ chǒu"
松柏木,"sōng bǎi mù","Pine and Cypress Wood",木,Wood,庚寅,辛卯,"gēng yín","xīn mǎo"
长流水,"cháng liú shuǐ","Long-Flowing Water",水,Water,壬辰,癸巳,"rén chén","guǐ sì"
沙中金,"shā zhōng jīn","Gold in the Sand",金,Metal,甲午,乙未,"jiǎ wǔ","yǐ wèi"
山下火,"shān xià huǒ","Fire at the Foothill",火,Fire,丙申,丁酉,"bǐng shēn","dīng yǒu"
平地木,"píng dì mù","Wood on Level Ground",木,Wood,戊戌,己亥,"wù xū","jǐ hài"
壁上土,"bì shàng tǔ","Earth on the Wall",土,Earth,庚子,辛丑,"gēng zǐ","xīn chǒu"
金箔金,"jīn bó jīn","Gold Foil Metal",金,Metal,壬寅,癸卯,"rén yín","guǐ mǎo"
覆灯火,"fù dēng huǒ","Sheltered Lamp Fire",火,Fire,甲辰,乙巳,"jiǎ chén","yǐ sì"
天河水,"tiān hé shuǐ","Water of the Milky Way",水,Water,丙午,丁未,"bǐng wǔ","dīng wèi"
大驿土,"dà yì tǔ","Post-Road Earth",土,Earth,戊申,己酉,"wù shēn","jǐ yǒu"
钗钏金,"chāi chuàn jīn","Hairpin Metal",金,Metal,庚戌,辛亥,"gēng xū","xīn hài"
桑柘木,"sāng zhè mù","Mulberry Wood",木,Wood,壬子,癸丑,"rén zǐ","guǐ chǒu"
大溪水,"dà xī shuǐ","Water of the Great Stream",水,Water,甲寅,乙卯,"jiǎ yín","yǐ mǎo"
沙中土,"shā zhōng tǔ","Earth in the Sand",土,Earth,丙辰,丁巳,"bǐng chén","dīng sì"
天上火,"tiān shàng huǒ","Fire in the Sky",火,Fire,戊午,己未,"wù wǔ","jǐ wèi"
石榴木,"shí liú mù","Pomegranate Wood",木,Wood,庚申,辛酉,"gēng shēn","xīn yǒu"
大海水,"dà hǎi shuǐ","Water of the Great Sea",水,Water,壬戌,癸亥,"rén xū","guǐ hài"
